lanebelopp,kontantinsats_procent,inkomst,skuldkvot,bostadsort,ranta,tidigare_betalningsanmarkning,default
1130904,21.8,300000,3.77,Goteborg,4.27,ja,0
754442,10.7,300000,2.51,Ovrigt,2.57,nej,0
1403877,15.4,467674,3.0,Ovrigt,4.25,nej,0
1024912,12.8,300000,3.42,Malmo,3.17,nej,0
5000000,14.1,931967,5.36,Stockholm,2.38,nej,0
4407293,18.9,580445,7.59,Stockholm,4.03,nej,0
3936717,16.1,617996,6.37,Stockholm,3.13,ja,1
1748307,12.3,358129,4.88,Ovrigt,3.18,ja,1
3160722,14.5,602678,5.24,Malmo,3.72,ja,1
2349356,11.4,547580,4.29,Ovrigt,2.87,nej,0
3505708,11.3,682844,5.13,Stockholm,3.39,nej,0
1551131,11.5,501779,3.09,Ovrigt,2.04,nej,0
1707353,17.2,367752,4.64,Ovrigt,3.4,nej,0
5000000,14.8,741834,6.74,Stockholm,3.97,nej,1
2768174,19.2,521700,5.31,Stockholm,3.54,ja,1
1967264,13.6,597728,3.29,Stockholm,3.42,ja,0
3668407,18.6,535064,6.86,Stockholm,2.72,nej,1
1566788,11.9,407221,3.85,Goteborg,3.39,nej,0
1034783,17.4,371147,2.79,Goteborg,2.55,nej,0
4977488,18.8,720050,6.91,Stockholm,2.48,nej,0
3221637,14.6,747315,4.31,Malmo,3.11,nej,0
5000000,11.6,954020,5.24,Stockholm,3.4,nej,0
2677652,12.2,361267,7.41,Stockholm,4.01,ja,1
3958023,12.5,818870,4.83,Goteborg,2.94,nej,1
2017947,16.3,430514,4.69,Goteborg,3.6,nej,0
1521901,21.8,509045,2.99,Ovrigt,3.34,nej,0
1927880,11.1,415614,4.64,Stockholm,2.5,nej,0
3010216,15.4,517514,5.82,Goteborg,2.0,nej,0
2042173,12.2,501565,4.07,Malmo,3.51,nej,1
1317123,15.5,329772,3.99,Stockholm,3.68,ja,1
1597392,14.6,564280,2.83,Malmo,2.53,nej,0
5000000,16.2,1023126,4.89,Stockholm,4.18,nej,0
2988066,15.9,556899,5.37,Stockholm,4.97,ja,1
2806570,15.9,689738,4.07,Ovrigt,3.96,nej,0
1308519,18.1,371061,3.53,Ovrigt,3.65,ja,1
1434960,16.3,562324,2.55,Ovrigt,2.0,nej,0
1668150,14.9,300000,5.56,Stockholm,3.91,nej,0
5000000,18.7,1200000,4.17,Stockholm,2.65,nej,1
2460704,17.6,804666,3.06,Malmo,2.86,nej,0
2358595,15.2,436328,5.41,Goteborg,4.65,ja,1
1785617,16.3,300000,5.95,Stockholm,4.42,nej,0
3090010,14.0,548647,5.63,Goteborg,4.12,nej,1
1319018,20.9,335182,3.94,Stockholm,3.82,ja,1
2356114,14.1,478275,4.93,Ovrigt,3.64,nej,1
4277474,12.8,704065,6.08,Stockholm,3.24,ja,1
1659048,13.4,303591,5.46,Malmo,2.23,nej,0
4088222,18.5,935079,4.37,Stockholm,3.85,nej,0
3776898,16.4,674839,5.6,Goteborg,3.39,nej,1
4158810,11.6,722396,5.76,Goteborg,2.33,nej,1
3031533,16.2,599315,5.06,Stockholm,3.17,nej,0
980178,13.1,300000,3.27,Ovrigt,3.57,nej,0
2416237,22.2,591933,4.08,Ovrigt,3.74,nej,0
863302,11.1,359277,2.4,Ovrigt,4.45,ja,0
1294044,12.6,300000,4.31,Ovrigt,2.98,nej,1
2013556,19.5,759803,2.65,Malmo,2.69,nej,0
2495624,16.9,927050,2.69,Ovrigt,3.27,nej,0
3684231,15.8,587423,6.27,Stockholm,3.68,nej,1
4436847,13.7,1200000,3.7,Stockholm,3.74,nej,0
4752047,15.9,619411,7.67,Stockholm,4.15,nej,0
3693424,11.5,512890,7.2,Stockholm,3.22,nej,1
1961063,18.8,379958,5.16,Goteborg,2.53,nej,0
5000000,13.8,1149494,4.35,Stockholm,3.85,nej,1
1429665,10.2,300000,4.77,Ovrigt,3.25,nej,0
2459800,15.7,656125,3.75,Goteborg,2.43,nej,0
3397377,12.3,477507,7.11,Stockholm,3.57,nej,0
1423495,16.3,406718,3.5,Goteborg,4.05,nej,1
4626646,17.3,901756,5.13,Stockholm,3.43,nej,0
1301785,15.8,343858,3.79,Ovrigt,4.96,ja,0
3300574,14.7,507921,6.5,Stockholm,2.91,nej,1
1394748,14.6,629777,2.21,Ovrigt,2.76,nej,0
2267041,20.1,758394,2.99,Ovrigt,3.71,nej,0
4651762,14.6,772877,6.02,Stockholm,2.99,nej,0
2240973,14.6,459590,4.88,Stockholm,4.41,ja,0
1446003,11.6,326360,4.43,Ovrigt,3.3,nej,0
1679573,12.8,413315,4.06,Ovrigt,4.55,ja,0
1284575,15.4,455145,2.82,Ovrigt,3.58,nej,0
767741,16.7,300000,2.56,Ovrigt,2.66,nej,0
4874340,13.3,797482,6.11,Stockholm,2.01,nej,0
2268858,20.0,505956,4.48,Goteborg,3.67,nej,0
1208254,21.8,300654,4.02,Stockholm,3.54,nej,0
928788,11.6,300000,3.1,Ovrigt,2.59,nej,0
1287603,15.3,361619,3.56,Malmo,4.01,ja,0
2170517,14.1,580042,3.74,Stockholm,4.03,nej,0
5000000,13.2,1200000,4.17,Stockholm,2.78,nej,1
4417303,17.0,656887,6.72,Stockholm,2.04,nej,1
2503671,18.4,426638,5.87,Stockholm,3.78,nej,1
2003993,13.8,437246,4.58,Ovrigt,3.96,nej,1
1132318,12.4,384294,2.95,Malmo,2.76,nej,0
1559410,13.6,455842,3.42,Ovrigt,3.66,nej,0
3143131,15.8,616754,5.1,Goteborg,3.4,nej,1
5000000,16.4,968682,5.16,Stockholm,3.13,nej,0
1663060,15.9,396442,4.19,Ovrigt,4.32,ja,1
3310884,16.9,771108,4.29,Ovrigt,2.9,nej,1
3040857,16.4,636162,4.78,Malmo,3.01,ja,0
725567,13.6,301650,2.41,Ovrigt,4.22,ja,1
5000000,17.3,1183447,4.22,Goteborg,3.36,nej,1
3087478,19.4,557265,5.54,Goteborg,2.0,nej,0
