lanebelopp,inkomst,alder,anstallningsform,syfte,ranta,amorteringstid_manader,skuldsattningsgrad,manadskostnad,betalningsborda,tidigare_anmarkning,default
306000,290467,31,Fast anställd,Konsumtion,9.71,24,1.05,14079,0.582,nej,0
254000,150046,31,Arbetslös,Renovering,12.63,36,1.69,8513,0.681,nej,1
329000,537352,27,Egenföretagare,Bil,9.63,24,0.61,15126,0.338,nej,0
320000,240180,29,Vikariat,Bil,7.43,12,1.33,27752,1.387,nej,1
500000,721741,42,Fast anställd,Konsumtion,9.86,60,0.69,10589,0.176,nej,0
500000,476921,39,Fast anställd,Övrigt,8.25,48,1.05,12265,0.309,nej,1
203000,503811,42,Fast anställd,Konsumtion,13.69,12,0.4,18197,0.433,ja,1
322000,272798,69,Pensionär,Renovering,9.68,60,1.18,6791,0.299,nej,0
270000,474727,45,Vikariat,Bil,11.23,36,0.57,8869,0.224,nej,0
226000,654469,46,Egenföretagare,Renovering,14.14,36,0.35,7740,0.142,nej,0
441000,549777,20,Fast anställd,Renovering,8.13,36,0.8,13846,0.302,ja,1
160000,228935,26,Arbetslös,Konsumtion,19.09,24,0.7,8072,0.423,nej,0
412000,278277,66,Pensionär,Övrigt,4.04,48,1.48,9310,0.401,nej,0
500000,591118,37,Fast anställd,Övrigt,13.13,24,0.85,23801,0.483,nej,0
500000,434409,31,Fast anställd,Konsumtion,10.0,60,1.15,10624,0.293,nej,0
158000,489324,47,Fast anställd,Konsumtion,8.19,60,0.32,3218,0.079,nej,0
143000,444130,57,Fast anställd,Övrigt,5.82,36,0.32,4339,0.117,nej,0
143000,416638,39,Fast anställd,Konsumtion,8.0,36,0.34,4481,0.129,nej,0
241000,384158,38,Fast anställd,Konsumtion,9.09,84,0.63,3888,0.121,nej,0
495000,575901,46,Fast anställd,Bil,9.99,60,0.86,10515,0.219,nej,0
500000,573040,19,Vikariat,Renovering,13.76,12,0.87,44837,0.939,nej,1
500000,736662,38,Fast anställd,Bil,9.68,24,0.68,22999,0.375,nej,0
261000,314960,47,Fast anställd,Övrigt,10.3,48,0.83,6657,0.254,nej,0
294000,767751,31,Fast anställd,Konsumtion,10.38,36,0.38,9539,0.149,nej,1
259000,437417,25,Fast anställd,Renovering,8.68,60,0.59,5336,0.146,nej,0
500000,597414,36,Egenföretagare,Konsumtion,11.31,48,0.84,12998,0.261,nej,0
480000,356049,37,Fast anställd,Bil,9.23,84,1.35,7779,0.262,nej,0
500000,513853,28,Fast anställd,Övrigt,11.07,12,0.97,44207,1.032,nej,1
196000,404255,58,Vikariat,Renovering,8.28,36,0.48,6167,0.183,nej,0
146000,290799,33,Fast anställd,Konsumtion,8.23,36,0.5,4591,0.189,nej,0
209000,448154,26,Vikariat,Konsumtion,11.07,36,0.47,6849,0.183,nej,1
500000,783148,37,Fast anställd,Övrigt,6.81,60,0.64,9856,0.151,nej,0
282000,459950,47,Fast anställd,Konsumtion,9.78,36,0.61,9070,0.237,nej,0
353000,279300,35,Arbetslös,Övrigt,11.59,60,1.26,7779,0.334,nej,0
203000,189581,39,Arbetslös,Renovering,16.08,48,1.07,5761,0.365,nej,1
500000,676570,29,Egenföretagare,Renovering,15.73,36,0.74,17512,0.311,nej,0
133000,224920,52,Fast anställd,Bil,8.14,48,0.59,3256,0.174,nej,0
500000,1140038,43,Fast anställd,Konsumtion,11.39,24,0.44,23395,0.246,nej,0
222000,611341,48,Vikariat,Bil,15.43,24,0.36,10809,0.212,ja,0
500000,442582,41,Fast anställd,Renovering,8.54,72,1.13,8899,0.241,nej,1
83000,245185,46,Fast anställd,Konsumtion,9.52,36,0.34,2660,0.13,nej,0
202000,540802,29,Fast anställd,Konsumtion,12.74,36,0.37,6781,0.15,nej,0
232000,294969,33,Fast anställd,Konsumtion,9.07,24,0.79,10606,0.431,nej,0
500000,338898,76,Pensionär,Renovering,12.77,48,1.48,13357,0.473,nej,0
387000,564698,53,Fast anställd,Övrigt,9.2,84,0.69,6266,0.133,nej,0
262000,260539,26,Vikariat,Konsumtion,7.15,60,1.01,5206,0.24,nej,0
236000,723849,40,Fast anställd,Bil,9.13,36,0.33,7519,0.125,nej,0
271000,648197,33,Fast anställd,Konsumtion,5.77,60,0.42,5210,0.096,nej,0
500000,687995,31,Fast anställd,Bil,8.71,36,0.73,15832,0.276,nej,0
290000,490460,40,Fast anställd,Konsumtion,8.61,24,0.59,13197,0.323,nej,0
187000,139541,46,Arbetslös,Bil,21.78,24,1.34,9681,0.833,ja,1
500000,721390,42,Egenföretagare,Övrigt,20.6,24,0.69,25595,0.426,ja,0
292000,185796,31,Arbetslös,Övrigt,13.04,72,1.57,5868,0.379,nej,1
97000,195451,71,Pensionär,Renovering,12.53,84,0.5,1740,0.107,nej,0
500000,581411,34,Vikariat,Renovering,9.95,24,0.86,23061,0.476,nej,0
500000,335995,39,Arbetslös,Renovering,10.28,36,1.49,16199,0.579,nej,1
500000,481934,51,Fast anställd,Konsumtion,10.82,84,1.04,8514,0.212,nej,0
